,name,nationality_1,nationality_2,team,jersey,position_1,position_2,archetype,height_feet,height_cm,weight_lbs,weight_kg,wingspan_feet,wingspan_cm,years_in_the_nba,prior_to_wnba,overall,group_outside_scoring,close_shot,mid_range_shot,three_point_shot,free_throw,shot_iq,offensive_consistency,group_athleticism,speed,agility,strength,vertical,stamina,hustle,overall_durability,group_inside_scoring,layup,standing_dunk,driving_dunk,post_hook,post_fade,post_control,draw_foul,hands,group_playmaking,pass_accuracy,ball_handle,speed_with_ball,pass_iq,pass_vision,group_defense,interior_defense,perimeter_defense,steal,block,help_defense_iq,pass_perception,defensive_consistency,group_rebounding,offensive_rebound,defensive_rebound,intangibles,potential,total_attributes,badge_deadeye,badge_limitless_range,badge_mini_marksman,badge_set_shot_specialist,badge_shifty_shooter,badge_aerial_wizard,badge_float_game,badge_hook_specialist,badge_layup_mixmaster,badge_paint_prodigy,badge_physical_finisher,badge_post_fade_phenom,badge_post_powerhouse,badge_post_up_poet,badge_posterizer,badge_rise_up,badge_ankle_assassin,badge_bail_out,badge_break_starter,badge_dimer,badge_handles_for_days,badge_lightning_launch,badge_strong_handle,badge_unpluckable,badge_versatile_visionary,badge_challenger,badge_glove,badge_high_flying_denier,badge_immovable_enforcer,badge_interceptor,badge_off_ball_pest,badge_on_ball_menace,badge_paint_patroller,badge_pick_dodger,badge_post_lockdown,badge_boxout_beast,badge_rebound_chaser,badge_brick_wall,badge_slippery_off_ball,badge_pogo_stick,season_salary,birthdate,hometown,prior_to_nba
53,Bobby Jones,United States,,All-Time Philadelphia 76ers,24,SF,PF,Switchable Lockdown Defender,"6'9""",206,210,95,"6'10""",208,,,90,70,80,76,30,86,90,60,76,75,92,70,78,70,70,78,72,85,65,65,65,65,78,79,70,61,56,61,60,78,49,92,95,92,88,82,98,97,95,55,50,60,70,90,2748,,,,silver,,bronze,silver,,silver,,silver,,,,,,,,,,,,,,,hof,gold,gold,hof,gold,hof,hof,gold,gold,hof,,,,,gold,,,,UNC
54,Brad Daugherty,United States,,All-Time Cleveland Cavaliers,43,C,PF,Paint Beast,"7'0""",213,245,110,"7'4""",224,,,90,81,96,83,35,80,95,95,69,55,39,84,55,92,85,75,86,69,90,60,95,92,94,94,95,56,69,34,25,83,68,68,85,39,58,60,84,62,85,90,88,92,65,90,2745,,,,gold,,gold,,,,gold,gold,gold,gold,gold,,,,gold,silver,bronze,,,,,bronze,gold,,gold,,,,,gold,,silver,gold,,gold,,silver,,,,UNC
55,Brad Davis,United States,,All-Time Dallas Mavericks,15,PG,,3-Level Scoring Playmaker,"6'3""",191,180,81,"6'6""",198,,,84,84,78,80,84,82,98,80,78,80,76,50,70,90,98,85,54,81,25,68,36,44,25,65,90,85,84,86,80,95,78,65,40,76,60,27,85,84,85,35,31,38,65,86,2585,,,,,silver,,silver,,silver,,,,,,,,gold,,gold,gold,gold,bronze,,,gold,,gold,,,,,,,gold,,,,,,,,,,Maryland
56,Bradley Beal,United States,,All-Time Washington Wizards,3,SG,SF,Walking Bucket,"6'5""",196,207,93,"6'8""",203,13,,89,93,97,93,84,90,95,98,80,76,75,62,87,98,78,81,70,95,30,84,55,55,54,95,92,80,82,88,76,85,70,54,45,66,43,47,75,65,40,47,42,51,85,89,2723,silver,gold,,gold,gold,,silver,,silver,,,,,,,,,silver,bronze,,bronze,,,,,,,,,,,,,,,,,,gold,,,,,Florida
57,Brandon Ingram,United States,,All-Time New Orleans Pelicans,14,SF,PF,Shot-Creating 3-Level Threat,"6'7""",201,190,86,"7'3""",221,9,,85,90,85,85,84,87,98,98,74,71,72,42,77,89,80,85,71,82,65,75,64,76,62,60,80,77,75,78,70,90,70,59,61,69,41,57,75,68,40,58,47,68,83,88,2697,silver,bronze,,,silver,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,Duke
58,Brandon Roy,United States,,All-Time Portland Trail Blazers,7,SG,,2-Way 3-Level Shot Creator,"6'6""",198,229,103,"6'8""",203,,,91,89,90,85,82,84,98,95,80,88,84,68,90,90,80,59,81,88,75,85,61,84,68,90,98,80,80,90,86,80,64,71,55,80,66,55,80,78,80,52,47,57,83,95,2918,gold,silver,,,,gold,gold,,gold,,gold,,,,,,silver,,gold,silver,gold,gold,,,silver,,,,,,,,,,,,,,,,,,,Washington
59,Brian Winters,United States,,All-Time Milwaukee Bucks,32,SG,,2-Way 3-Level Shot Creator,"6'4""",193,185,83,"6'9""",206,,,86,89,80,84,87,88,98,95,82,74,74,66,76,98,91,95,63,80,41,60,31,45,70,75,98,77,79,76,70,79,79,72,59,79,84,54,79,75,75,60,59,61,68,90,2772,gold,gold,,,gold,,silver,,silver,,,,,,,,,,,,,,,,,,gold,gold,,,,,,gold,,,,,,,,,,South Carolina
60,Brook Lopez,United States,,All-Time Brooklyn Nets,11,C,,3-Level Scoring Paint Beast,"7'0""",213,275,124,"7'6""",229,17,,87,90,93,90,80,81,97,98,64,25,23,93,60,95,74,76,80,72,85,60,92,85,93,76,80,46,35,35,25,78,59,66,82,25,56,81,84,69,65,86,82,89,80,87,2660,,,,silver,,gold,,,,,,silver,gold,silver,,gold,,,,,,,,,,silver,,,,,,,bronze,,,gold,,gold,,,,,,Stanford
61,Bruce Bowen,United States,,All-Time San Antonio Spurs,12,SF,SG,2-Way Sharpshooter,"6'7""",201,220,99,"6'11""",211,,,86,82,70,88,91,63,80,98,82,78,96,75,67,91,85,80,62,70,35,65,35,48,74,79,90,68,77,76,68,80,38,81,64,96,69,61,95,88,97,42,36,47,80,86,2716,,gold,,,,,,,,,,,,,,,,,,,,,,,,hof,gold,gold,gold,,hof,gold,,gold,,,,,,,,,,Fullerton
62,Bryant Reeves,United States,,All-Time Memphis Grizzlies,50,C,,Inside the Arc Threat,"7'0""",213,275,124,"7'2""",218,,,84,79,84,83,55,76,90,85,74,60,33,93,68,89,95,83,77,75,75,60,80,83,84,70,85,59,60,62,30,74,68,65,78,33,63,61,79,70,70,74,70,78,50,90,2642,,,,gold,,gold,,,,silver,gold,silver,gold,silver,,,,,gold,bronze,,,,,bronze,,,,,,,,,,,gold,gold,gold,,,,,,Oklahoma State
63,Buck Williams,United States,,All-Time Brooklyn Nets,52,PF,C,2-Way Inside-The-Arc Threat,"6'8""",203,215,97,"6'11""",211,,,88,76,94,79,25,71,98,90,78,65,33,90,74,98,98,85,81,70,95,58,88,74,88,77,95,47,49,28,28,90,40,75,90,33,62,65,90,92,95,93,92,94,83,88,2764,,,,,,gold,,gold,,,gold,,gold,,,gold,,,,,,,,,,,,,,,,,gold,,,gold,,gold,,,,,,Maryland
64,Byron Beck,United States,,All-Time Denver Nuggets,40,PF,SF,2-Way Inside-The-Arc Threat,"6'9""",206,225,101,"7'1""",216,,,89,85,92,80,68,84,90,95,81,70,69,90,75,90,95,80,85,85,75,75,88,88,88,89,95,68,69,70,65,78,59,73,78,69,65,80,73,70,75,92,91,93,55,89,2940,,,silver,silver,,gold,,,,silver,gold,silver,silver,silver,,silver,,silver,gold,,,,,,,silver,,silver,,,silver,,,silver,silver,gold,gold,silver,,gold,,,,
65,Byron Scott,United States,,All-Time Los Angeles Lakers,4,SG,PG,2-Way Playmaking Sharpshooter,"6'3""",191,195,88,"6'7""",201,,,86,92,87,88,92,89,98,95,73,84,,55,85,98,98,90,63,88,50,80,25,63,36,66,98,80,79,84,81,79,79,70,49,84,69,35,90,85,75,57,55,59,55,87,2710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arizona State
66,Calvin Murphy,United States,,All-Time Houston Rockets,23,PG,SG,2-Way Inside-The-Arc Playmaker,"5'9""",175,185,83,"6'0""",183,,,91,92,97,95,74,96,97,95,85,96,89,50,85,98,95,85,56,93,25,30,30,58,38,75,98,92,94,95,96,95,80,70,54,80,80,35,80,84,75,37,30,44,45,91,2757,,,silver,,,,gold,,gold,,bronze,,,,,,gold,gold,gold,gold,gold,hof,hof,legendary,gold,,gold,,,,,,,gold,,,,,,,,,,Niagara University
67,Campy Russell,United States,,All-Time Cleveland Cavaliers,21,SF,,Inside-Out Shot Creator,"6'8""",203,215,97,"7'0""",213,,,86,88,84,82,87,80,97,98,76,79,74,42,75,95,86,78,68,90,40,75,40,65,58,81,91,74,74,78,74,80,66,62,56,74,61,40,73,58,70,55,36,74,98,86,2695,,,,,gold,,silver,,silver,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,Michigan
68,Carlos Boozer,Germany,,All-Time Utah Jazz,5,PF,,Inside The Arc Board Hunter,"6'9""",206,266,120,"7'2""",218,,,88,79,92,92,33,74,90,90,72,59,44,94,75,90,61,78,86,72,85,75,92,94,92,84,92,47,52,40,30,74,40,63,79,44,63,51,70,63,70,92,90,94,70,88,2676,,,,gold,,gold,,gold,,gold,gold,gold,gold,gold,,gold,,,,,,,,,,,,,,,,,,,,gold,gold,gold,,,,,,Duke
69,Carmelo Anthony,United States,,All-Time Denver Nuggets,15,SF,PF,All-Around Star,"6'8""",203,240,108,"7'0""",213,22,,95,92,88,96,87,86,98,98,88,94,74,85,74,98,98,95,83,78,55,85,82,93,85,90,98,86,85,93,87,85,81,76,75,77,69,55,85,83,85,83,81,84,45,95,3102,hof,silver,,gold,hof,gold,silver,,silver,,silver,silver,,silver,gold,,silver,,,,gold,silver,,,,,,,,,,,,,,,,,gold,,,,,Syracuse
70,Carmelo Anthony,United States,,All-Time New York Knicks,7,SF,PF,2-Way Scoring Phenom,"6'8""",203,240,108,"7'0""",213,22,,92,91,89,93,85,86,98,95,84,83,74,82,74,98,98,79,79,78,55,70,64,95,85,92,90,78,74,93,80,74,70,68,74,76,61,47,73,72,70,77,70,84,53,92,2926,hof,silver,,gold,hof,gold,silver,,silver,,gold,silver,,silver,,,silver,,,,,bronze,,,,,,,,,,,,,,,,,gold,,,,,Syracuse
71,Caron Butler,United States,,All-Time Washington Wizards,3,SF,,Shot-Creating 3-Level Threat,"6'7""",201,228,103,"7'0""",213,,,88,90,86,90,86,90,93,95,78,78,75,74,60,95,79,86,69,86,35,80,47,75,74,87,70,75,70,80,74,80,72,61,54,75,75,37,74,58,55,46,40,51,98,88,2722,,silver,,gold,,gold,bronze,,bronze,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,gold,,,,,UConn
72,Charles Oakley,United States,,All-Time New York Knicks,34,PF,C,2-Way Board-Hunting Stretch,"6'8""",203,225,101,"7'0""",213,,,86,87,90,86,76,85,98,85,79,73,74,90,52,75,98,89,67,78,60,58,54,55,55,78,98,51,49,29,70,49,59,72,95,27,65,32,96,95,95,94,92,95,55,86,2696,,,,silver,,gold,,,,,gold,,silver,,,,,,,,,,,,,gold,,,,silver,,,gold,,gold,gold,silver,gold,,gold,,,,Virginia Union University
73,Charlie Scott,United States,,All-Time Phoenix Suns,33,PG,SG,2-Way 3-Level Playmaker,"6'5""",196,175,79,"6'9""",206,,,89,90,94,93,78,80,97,98,84,88,87,69,81,95,85,82,73,92,70,75,50,60,54,88,94,83,84,86,88,80,79,74,65,84,78,44,82,80,85,61,58,64,80,93,2940,,,,,,,gold,,gold,,silver,,,,,,silver,gold,gold,silver,silver,silver,gold,gold,silver,,bronze,bronze,,,,,,silver,,,,,,,,,,UNC
74,Chauncey Billups,United States,,All-Time Denver Nuggets,1,PG,SG,2-Way 3-Level Playmaker,"6'3""",191,202,91,"6'6""",198,,,88,85,84,78,84,87,94,85,83,75,95,75,70,88,95,80,53,86,25,25,38,44,40,77,88,83,88,86,76,87,78,74,58,88,63,30,88,95,95,41,32,50,65,88,2680,gold,bronze,,,gold,,gold,,gold,,,,,,,,gold,,,gold,silver,silver,gold,gold,gold,gold,gold,,gold,gold,gold,gold,,gold,,,,,,,,,,Colorado
75,Chauncey Billups,United States,,All-Time Detroit Pistons,1,PG,SG,All-Around Star,"6'3""",191,202,91,"6'6""",198,,,93,91,87,88,88,87,98,95,86,88,95,80,72,93,95,80,53,92,25,25,38,44,40,77,81,91,94,88,89,91,92,75,58,94,63,30,88,95,95,41,32,50,69,93,2789,gold,gold,,,gold,,gold,,gold,,gold,,,,,,gold,gold,,gold,gold,gold,gold,gold,gold,gold,gold,,gold,gold,gold,gold,,gold,,,,,,,,,,Colorado
76,Chris Bosh,United States,,All-Time Miami Heat,1,PF,C,3-Level Scoring Board Hunter,"6'11""",211,235,106,"7'4""",224,,,88,89,86,84,85,84,98,95,78,69,49,75,75,95,95,87,84,78,80,69,86,84,88,89,95,55,52,58,52,69,43,71,76,70,57,61,80,76,80,84,82,86,80,88,2856,,,,gold,,bronze,,,,,gold,gold,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Georgia Tech
77,Chris Bosh,United States,,All-Time Toronto Raptors,4,PF,C,2-Way 3-Level Interior Force,"6'11""",211,235,106,"7'4""",224,,,90,90,94,92,75,84,98,95,81,72,60,80,80,95,95,87,84,78,80,69,86,84,94,89,95,57,52,58,52,80,43,77,88,78,57,61,88,81,85,93,91,94,65,91,2946,,,,gold,,bronze,,,,,silver,bronze,,bronze,,,,,,,,,,,,,,,,,,,,,,gold,silver,silver,,silver,,,,Georgia Tech
78,Chris Kaman,United States,,All-Time Los Angeles Clippers,35,C,,Paint Beast,"7'0""",213,265,119,"7'0""",213,,,87,83,93,82,60,82,95,85,79,63,53,95,75,85,95,84,79,70,85,60,82,84,84,70,95,57,52,52,43,78,62,70,80,53,60,80,82,60,75,84,83,85,40,87,2749,,,,gold,,gold,,,,gold,gold,gold,gold,gold,,,,,gold,,,,,,,,,,,,,,gold,,,gold,,gold,,,,,,Central Michigan University
79,Chris Mullin,United States,,All-Time Golden State Warriors,17,SF,SG,2-Way 3-Level Point Forward,"6'7""",201,200,90,"6'10""",208,,,94,95,92,95,97,88,98,98,86,78,84,79,68,98,98,95,72,89,38,45,59,88,65,92,98,78,79,75,73,86,75,78,66,90,73,51,89,85,95,57,55,59,98,94,2985,gold,hof,,,gold,,silver,,silver,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,gold,,,,,St. John's
80,Chris Paul,United States,,All-Time Houston Rockets,3,PG,,2-Way 3-Level Playmaker,"6'0""",183,175,79,"6'4""",193,20,,90,89,88,87,82,92,97,85,82,84,94,62,78,95,85,77,59,80,25,27,40,55,75,71,95,91,95,94,84,95,87,78,65,93,82,40,82,96,90,52,36,67,55,92,2827,silver,,bronze,silver,silver,,gold,,bronze,,,,,,,,gold,gold,bronze,gold,silver,gold,silver,silver,gold,silver,hof,,gold,gold,bronze,gold,,gold,,,,,,,,,,Wake Forest
81,Chris Paul,United States,,All-Time Los Angeles Clippers,3,PG,,All-Around Star,"6'0""",183,175,79,"6'4""",193,20,,93,91,97,93,86,89,85,95,81,84,93,58,78,95,85,77,57,92,25,27,40,55,48,71,95,92,95,94,84,95,93,78,65,93,85,32,82,96,90,50,37,63,69,93,2834,silver,,gold,silver,silver,,hof,,gold,,,,,,,,gold,gold,gold,gold,gold,gold,silver,silver,gold,silver,hof,,gold,gold,bronze,gold,,gold,,,,,,,,,,Wake Forest
82,Chris Paul,United States,,All-Time New Orleans Pelicans,3,PG,,All-Around Star,"6'0""",183,175,79,"6'4""",193,20,,97,93,98,95,83,85,98,98,87,96,96,68,88,97,85,77,59,97,25,27,40,55,48,88,95,96,96,92,96,98,98,82,65,95,98,35,93,96,95,45,34,55,80,97,2962,silver,,hof,silver,silver,,hof,,gold,,,,,,,,gold,gold,bronze,gold,gold,gold,silver,silver,gold,silver,hof,,gold,gold,bronze,gold,,gold,,,,,,,,,,Wake Forest
83,Chris Webber,United States,,All-Time Sacramento Kings,4,PF,C,2-Way Inside-The-Arc Menace,"6'9""",206,245,110,"7'4""",224,,,93,85,97,90,66,80,80,95,81,79,53,88,85,98,80,85,90,84,95,85,90,84,94,89,98,76,78,75,75,88,65,75,78,53,82,89,79,70,75,92,92,92,95,93,3074,,,,gold,,gold,,,,gold,gold,gold,gold,gold,,gold,,,gold,,,,,,,,,gold,,,,,,,,gold,gold,silver,,gold,,,,Michigan
84,Christian Laettner,United States,,All-Time Minnesota Timberwolves,32,PF,C,2-Way Inside-The-Arc Threat,"6'11""",211,235,106,"7'2""",218,,,85,83,85,88,68,82,87,85,67,50,28,74,40,95,95,85,78,70,70,55,89,84,86,84,88,49,60,45,25,75,42,66,83,28,55,71,81,68,75,82,80,84,98,85,2643,,,,gold,,gold,,,,,silver,gold,,gold,,,,,gold,,,,,,,,gold,gold,,,,,gold,,,,,gold,,,,,,Duke
85,Chuck Person,United States,,All-Time Indiana Pacers,45,SF,PF,2-Way 3-Level Shot Creator,"6'8""",203,220,99,"6'11""",211,,,87,89,92,85,89,79,96,95,80,74,82,80,72,90,85,79,74,84,65,75,71,72,79,62,84,75,74,78,69,82,70,71,78,80,58,45,84,78,75,72,62,82,70,87,2862,,silver,,,gold,,silver,,silver,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,Auburn
86,C.J. McCollum,United States,,All-Time Portland Trail Blazers,3,SG,PG,Shot-Creating 3-Level Threat,"6'4""",193,200,90,"6'6""",198,12,,86,89,89,90,84,83,98,90,82,82,76,60,80,98,98,78,58,80,30,40,49,55,32,80,98,81,78,86,82,78,82,56,35,77,41,51,69,50,70,55,50,59,80,86,2644,gold,silver,silver,silver,gold,,,,,,,,,,,,bronze,gold,,,bronze,bronze,bronze,bronze,,,,,,,,,,,,,,,gold,,,,,Lehigh
87,Cliff Hagan,United States,,All-Time Atlanta Hawks,17,SF,SG,2-Way 3-Level Shot Creator,"6'4""",193,210,95,"6'5""",196,,,91,92,94,92,90,83,95,95,86,75,84,80,68,99,97,98,77,84,40,65,96,85,72,85,85,78,82,78,76,85,68,77,65,83,80,68,83,80,80,83,82,84,83,96,3035,,silver,,gold,gold,,gold,gold,gold,,silver,,,,,,,,gold,,,,gold,gold,,,gold,,,,,,,gold,,gold,gold,,,,,,,Kentucky
88,Clyde Drexler,United States,,All-Time Houston Rockets,22,SG,SF,2-Way Mid-Range Slasher,"6'7""",201,210,95,"6'10""",208,,,93,89,94,88,80,81,95,95,87,78,88,70,94,96,95,88,83,94,78,90,65,84,74,84,98,79,79,82,79,82,72,79,65,88,79,52,85,89,95,69,67,70,83,93,3069,,,,,,hof,gold,,gold,,gold,,,,hof,,,,,,,bronze,,,,,gold,gold,,,,,,,,,,,,gold,,,,Houston
89,Clyde Drexler,United States,,All-Time Portland Trail Blazers,22,SG,SF,2-Way Mid-Range Slasher,"6'7""",201,210,95,"6'10""",208,,,96,92,97,94,79,84,98,98,91,90,88,75,97,98,90,98,85,95,76,98,64,84,70,93,98,79,79,84,80,79,72,79,65,88,79,52,85,89,95,76,77,75,98,97,3158,,,,,,hof,gold,,gold,,gold,,,,hof,,,,,,,silver,,,,,gold,gold,,,,,,,,,,,,gold,,,,Houston
90,Corey Maggette,United States,,All-Time Los Angeles Clippers,50,SF,SG,2-Way 3-Level Shot Creator,"6'6""",198,218,98,"6'8""",203,,,86,86,80,87,83,86,88,90,85,83,80,80,85,95,90,79,75,85,65,85,40,80,70,82,89,73,78,79,71,77,58,71,68,80,70,55,75,78,70,52,48,56,75,86,2826,,,,,gold,gold,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Duke
91,Dale Ellis,United States,,All-Time Oklahoma City Thunder,3,SG,SG,Shot-Creating 3-Level Threat,"6'7""",201,205,92,"6'10""",208,,,88,90,84,90,96,82,95,90,80,78,74,65,70,97,94,79,74,88,50,65,60,75,74,80,96,73,82,82,73,79,50,64,49,72,70,30,75,78,75,58,55,60,84,88,2784,gold,gold,,,gold,,silver,,silver,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,gold,,,,,Tennessee
92,Damian Lillard,United States,,All-Time Portland Trail Blazers,0,PG,,Offensive Architect,"6'3""",191,195,88,"6'8""",203,13,,94,92,86,88,87,93,98,98,87,88,76,63,89,97,95,98,64,96,25,85,30,38,42,94,98,92,92,96,87,95,88,54,25,69,41,40,72,77,55,43,32,53,98,94,2778,gold,hof,gold,gold,hof,,gold,,gold,,,,,,bronze,,gold,gold,bronze,gold,silver,gold,silver,silver,gold,,,,,,,,,,,,,,,,,,,Weber State
93,Damon Stoudamire,United States,,All-Time Toronto Raptors,20,PG,,3-Level Scoring Playmaker,"5'10""",178,171,77,"6'1""",185,,,86,89,88,85,89,84,95,90,78,94,74,51,84,98,71,72,47,88,25,25,25,40,25,80,70,92,93,89,95,94,90,49,27,66,63,25,74,47,40,44,41,46,75,86,2504,silver,,gold,,gold,,gold,,gold,,,,,,,,bronze,gold,,bronze,gold,gold,gold,gold,bronze,,,,,,,,,,,,,,,,,,,Arizona
94,Dan Issel,United States,,All-Time Denver Nuggets,44,PF,C,2-Way Inside-The-Arc Menace,"6'9""",206,243,109,"7'1""",216,,,92,88,92,87,68,85,98,98,79,65,44,96,70,98,98,83,86,74,85,70,92,91,94,84,98,54,64,48,25,64,69,71,90,44,55,60,88,70,90,95,95,94,83,92,2901,,,,gold,,gold,,,,gold,gold,gold,gold,gold,,gold,,,gold,,,,,,,,,,,,,,silver,,,gold,gold,gold,,,,,,Kentucky
95,Dan Majerle,United States,,All-Time Phoenix Suns,9,SG,SF,2-Way 3-Level Shot Creator,"6'6""",198,215,97,"6'10""",208,,,88,86,84,88,89,78,98,80,86,75,89,79,75,98,98,85,68,86,50,76,45,59,50,80,98,75,74,78,73,74,75,79,70,89,79,35,92,90,95,59,59,58,98,88,2887,,gold,,,,,,,,,,,,,,,,,,,,,,,,gold,gold,,gold,,,gold,,gold,,,,,gold,,,,,Central Michigan University
96,Danny Granger,United States,,All-Time Indiana Pacers,33,SF,PF,Shot-Creating 3-Level Threat,"6'9""",206,228,103,"7'2""",218,,,88,88,85,84,84,83,98,95,83,86,84,65,90,95,86,75,73,84,40,80,60,72,72,78,94,78,78,78,78,78,77,67,56,76,70,60,73,58,75,70,69,70,83,88,2857,,silver,,,gold,,gold,,gold,,silver,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,New Mexico
97,Danny Manning,United States,,All-Time Los Angeles Clippers,5,PF,,2-Way Inside-The-Arc Threat,"6'10""",208,245,110,"7'0""",213,,,87,80,88,84,70,80,75,85,83,74,44,89,90,98,95,90,86,80,85,80,88,89,90,80,98,58,70,54,40,82,45,74,82,44,70,82,84,74,80,86,84,88,60,87,2878,,,,gold,,gold,,,,gold,gold,gold,,gold,,,,,gold,,,,,,,,bronze,,,,,,,,,,,gold,,,,,,Kansas
98,Darrel Griffith,United States,,All-Time Utah Jazz,35,SG,SF,2-Way Inside-Out Combo Guard,"6'4""",193,185,83,"6'7""",201,,,87,87,92,82,83,78,98,90,82,80,80,50,97,98,98,70,73,89,35,95,50,70,60,89,98,80,85,78,79,78,79,73,64,82,65,37,85,88,90,52,49,55,75,87,2858,,,,,,gold,gold,,gold,,,,,,hof,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,Louisville
99,Darrell Armstrong,United States,,All-Time Orlando Magic,10,PG,,3-Level Scoring Playmaker,"6'0""",183,176,79,"6'3""",191,,,83,83,80,86,79,79,94,80,76,85,80,44,75,84,84,80,53,84,25,80,25,29,25,76,80,85,84,85,88,88,82,58,32,74,81,40,68,42,70,35,29,41,80,83,2521,,,bronze,,,,gold,,gold,,,,,,,,bronze,gold,,,gold,gold,gold,gold,,,,,,,,,,,,,,,,,,,,Fayetteville State University
100,Dave Bing,United States,,All-Time Detroit Pistons,21,PG,SG,All-Around Star,"6'3""",191,180,81,"6'6""",198,,,90,89,88,88,85,81,95,95,86,91,93,58,83,97,95,82,63,95,25,60,40,60,40,88,94,90,90,93,94,94,78,71,45,84,82,37,78,88,85,45,50,40,45,90,2806,,,gold,,gold,,gold,,gold,,bronze,,,,,,gold,gold,gold,gold,gold,gold,gold,gold,gold,silver,,,,,silver,,,,,,,,,,,,,Syracuse
101,Dave Cowens,United States,,All-Time Boston Celtics,18,C,PF,3-Level Scoring Paint Beast,"6'9""",206,230,104,"7'1""",216,,,95,90,97,91,78,85,90,98,85,66,63,95,82,98,98,91,91,84,95,70,95,94,96,95,98,54,62,44,28,82,55,87,97,63,60,95,98,98,98,96,96,96,45,95,3071,,,,gold,,hof,,,,silver,gold,gold,,gold,,,,,,,,,,,,gold,,gold,,,,,gold,gold,gold,hof,hof,gold,,gold,,,,Florida State
102,Dave Debusschere,United States,,All-Time Detroit Pistons,22,PF,SF,Versatile Enforcer,"6'6""",198,220,99,"6'9""",206,,,89,82,80,83,76,80,90,80,86,69,74,92,85,98,97,88,89,90,85,85,88,87,88,88,98,68,75,72,39,80,72,85,88,66,92,92,88,85,85,93,89,97,40,89,3050,,,,gold,,gold,silver,,silver,,silver,gold,,gold,,,,,,,,,,,,,gold,gold,,,,,silver,gold,,gold,,silver,,gold,,,,Detroit Mercy
103,Dave Debusschere,United States,,All-Time New York Knicks,22,PF,SF,2-Way 3-Level Board Hunter,"6'6""",198,220,99,"6'9""",206,,,92,86,89,88,85,80,90,85,86,69,74,92,85,98,97,88,89,90,85,85,88,87,88,88,98,68,75,72,39,80,72,87,90,66,92,92,92,90,90,93,89,97,70,92,3127,,,,gold,,gold,silver,,silver,,bronze,gold,,gold,,,,,,,,,,,,,gold,gold,,,,,silver,gold,gold,gold,,gold,,gold,,,,Detroit Mercy
104,David Robinson,United States,,All-Time San Antonio Spurs,50,C,PF,2-Way Inside-The-Arc Menace,"7'1""",216,235,106,"7'6""",229,,,96,88,94,93,71,73,96,98,77,70,61,95,80,85,66,83,87,80,90,60,92,97,97,93,90,47,40,54,30,48,62,84,97,61,61,86,98,88,98,87,86,87,70,96,2926,,,,hof,,hof,,gold,,gold,gold,gold,gold,hof,,gold,,,silver,,,,,,,gold,,,,,,,hof,,hof,gold,gold,gold,,gold,,,,United States Naval Academy
105,David Thompson,United States,,All-Time Denver Nuggets,33,SG,SF,2-Way 3-Level Combo Guard,"6'4""",193,195,88,"6'7""",201,,,95,91,97,88,77,85,98,98,91,95,88,78,99,98,98,82,86,98,85,98,66,75,74,96,98,82,78,82,76,88,85,82,60,88,68,85,95,85,95,79,80,78,83,95,3192,,,,,,gold,gold,,gold,,gold,,,,hof,,,,,,,silver,,,,,,,,,,,,,,,,,,gold,,,,NC State
106,David Wesley,United States,,All-Time New Orleans Pelicans,4,SG,,2-Way 3-Level Combo Guard,"6'0""",183,190,86,"6'3""",191,,,84,89,92,85,90,83,90,95,79,83,75,42,80,98,98,74,56,84,25,45,30,59,30,74,98,79,82,76,78,82,77,65,44,79,63,47,73,69,80,54,49,59,53,84,2625,gold,gold,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,Baylor
107,David West,United States,,All-Time New Orleans Pelicans,30,PF,C,2-Way Inside-The-Arc Menace,"6'9""",206,250,113,"7'4""",224,,,88,87,88,93,60,85,98,95,77,52,51,96,65,98,98,80,78,70,80,50,90,92,90,57,95,54,58,48,37,60,69,82,90,78,65,72,89,88,95,85,84,86,68,88,2858,,,,,,gold,,,,,gold,gold,,gold,,,,,,,,,,,,,,,,,,,bronze,,,,,gold,,,,,,Xavier
108,DeAndre Jordan,United States,,All-Time Los Angeles Clippers,6,C,,Paint Beast,"6'11""",211,265,119,"7'6""",229,17,,87,53,88,25,25,48,94,40,81,64,54,94,77,91,90,94,71,57,97,96,48,40,61,79,92,35,25,30,25,66,31,77,96,54,58,81,96,60,95,96,95,97,80,87,2530,,,,,,gold,,,,,gold,,,,silver,hof,,,,,,,,,,gold,,gold,,,,,gold,,gold,gold,gold,gold,,,,,,Texas A&M
