,name,nationality_1,nationality_2,team,jersey,position_1,position_2,archetype,height_feet,height_cm,weight_lbs,weight_kg,wingspan_feet,wingspan_cm,season_salary,years_in_the_nba,birthdate,hometown,prior_to_nba,overall,group_outside_scoring,close_shot,mid_range_shot,three_point_shot,free_throw,shot_iq,offensive_consistency,group_athleticism,speed,agility,strength,vertical,stamina,hustle,overall_durability,group_inside_scoring,layup,standing_dunk,driving_dunk,post_hook,post_fade,post_control,draw_foul,hands,group_playmaking,pass_accuracy,ball_handle,speed_with_ball,pass_iq,pass_vision,group_defense,interior_defense,perimeter_defense,steal,block,help_defense_iq,pass_perception,defensive_consistency,group_rebounding,offensive_rebound,defensive_rebound,intangibles,potential,total_attributes,badge_deadeye,badge_limitless_range,badge_mini_marksman,badge_set_shot_specialist,badge_shifty_shooter,badge_aerial_wizard,badge_float_game,badge_hook_specialist,badge_layup_mixmaster,badge_paint_prodigy,badge_physical_finisher,badge_post_fade_phenom,badge_post_powerhouse,badge_post_up_poet,badge_posterizer,badge_rise_up,badge_ankle_assassin,badge_bail_out,badge_break_starter,badge_dimer,badge_handles_for_days,badge_lightning_launch,badge_strong_handle,badge_unpluckable,badge_versatile_visionary,badge_challenger,badge_glove,badge_high_flying_denier,badge_immovable_enforcer,badge_interceptor,badge_off_ball_pest,badge_on_ball_menace,badge_paint_patroller,badge_pick_dodger,badge_post_lockdown,badge_boxout_beast,badge_rebound_chaser,badge_brick_wall,badge_slippery_off_ball,badge_pogo_stick
51,Caleb Houstan,Canada,,Atlanta Hawks,2,SG,SF,3 & D Wing,"6'8""",203,205,92,"7'0""",213,,3,"January 9, 2003","Mississauga, Canada",Michigan,74,73,74,76,83,84,70,50,73,78,82,40,72,86,70,80,43,70,25,25,32,32,32,44,80,60,62,70,72,65,30,62,47,80,40,40,78,68,80,40,36,44,75,78,2250,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,bronze,,,bronze,,,,,,
52,Caleb Martin,United States,,Dallas Mavericks,16,PF,SF,Inside-Out Scoring Threat,"6'5""",196,210,95,"6'10""",208,,6,"September 28, 1995","Winston-Salem, North Carolina",Nevada,75,70,83,71,78,63,65,60,76,68,74,58,74,85,90,80,62,84,25,70,55,54,54,78,75,60,62,69,59,69,41,67,68,75,53,58,74,72,70,51,47,55,60,79,2455,bronze,,,silver,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,
53,Cam Christie,United States,,Los Angeles Clippers,12,SG,PG,Catch & Shoot Threat,"6'6""",198,190,86,"6'10""",208,,1,"July 24, 2005","Arlington Heights, Illinois",Minnesota,68,65,67,79,75,79,50,40,75,87,82,42,77,86,70,80,54,66,40,75,40,40,40,40,90,65,68,70,78,68,41,48,47,62,39,30,58,57,45,45,42,48,60,82,2240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Cam Spencer,United States,,Memphis Grizzlies,24,SG,SF,Catch & Shoot Threat,"6'4""",193,207,93,"6'8""",203,,1,"April 6, 2000","Davidsonville, Maryland",UConn,68,71,68,79,76,90,60,50,71,73,73,45,53,85,90,80,49,69,30,55,36,37,30,52,80,66,67,66,67,67,63,49,44,59,49,44,50,52,45,50,49,51,50,77,2211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Cameron Johnson,United States,,Denver Nuggets,2,PF,SF,Stretch Four,"6'8""",203,210,95,"6'10""",208,,6,"March 3, 1996","Moon Township, Pennsylvania",North Carolina,83,89,86,79,83,89,98,98,75,70,70,60,79,85,86,78,66,79,60,60,69,69,69,64,57,59,59,59,43,66,67,61,65,69,43,53,64,68,65,49,41,57,95,86,2588,silver,bronze,,gold,bronze,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,
56,Cam Thomas,United States,,Brooklyn Nets,24,SG,SF,Score-First Two Guard,"6'3""",191,210,95,"6'7""",201,,4,"October 13, 2001","Yokosuka, Japan",LSU,81,87,86,95,82,88,70,98,75,77,77,54,79,86,75,80,72,91,50,75,58,70,75,85,74,66,59,82,70,52,68,46,41,59,37,30,59,58,40,41,31,51,80,84,2526,gold,,gold,bronze,gold,,gold,,gold,,,,,,,,silver,,,,silver,bronze,silver,,,,,,,,,,,,,,,,silver,
57,Cam Whitmore,United States,,Washington Wizards,7,SF,PF,Inside the Arc Shot Creator,"6'7""",201,230,104,"6'9""",206,,2,"July 8, 2004","Odenton, Maryland",Villanova,78,75,65,89,73,74,70,80,81,84,84,68,84,88,80,80,63,81,40,80,57,59,59,50,79,68,68,86,84,69,34,56,57,67,49,55,57,58,50,58,50,65,85,83,2541,,,,,,,silver,,silver,,silver,,,,,,,,silver,,,bronze,silver,,,,,silver,,,,,,,silver,,,,,
58,Caris LeVert,United States,,Detroit Pistons,3,SG,SF,Inside-Out Shot Creator,"6'6""",198,205,92,"6'10""",208,,9,"August 25, 1994","Columbus, Ohio",Michigan,80,81,82,73,81,72,80,95,77,75,77,54,80,92,80,78,68,81,60,75,52,54,49,79,95,77,75,86,72,84,66,61,45,74,49,58,70,68,60,45,38,52,70,81,2612,,,,,bronze,,silver,,silver,,bronze,,,,,,bronze,bronze,,,bronze,,silver,,,,,,,,,,,,,,,,,
59,Cason Wallace,United States,,Oklahoma City Thunder,22,PG,SG,Defensive Menace,"6'3""",191,195,88,"6'9""",206,,2,"November 7, 2003","Dallas, Texas",Kentucky,79,79,94,72,80,83,70,75,78,75,87,55,72,90,85,80,54,85,25,70,31,37,37,50,95,69,75,78,75,75,43,75,48,83,96,58,82,84,75,47,46,47,98,82,2593,,,bronze,bronze,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,silver,,,,,,
60,Chet Holmgren,United States,,Oklahoma City Thunder,7,C,PF,2-Way 3-Level Scoring Threat,"7'1""",216,195,88,"7'6""",229,,3,"May 1, 2002","Minneapolis, Minnesota",Gonzaga,88,83,95,75,82,73,80,90,75,75,75,45,75,87,90,80,80,80,75,75,78,77,78,85,95,58,60,65,67,59,38,79,90,75,41,97,88,78,85,71,55,86,80,94,2823,bronze,,,silver,,gold,,,,silver,,silver,,bronze,bronze,silver,,,bronze,,,,bronze,,,,,gold,,bronze,bronze,,gold,,gold,bronze,silver,,,silver
61,Chris Boucher,Saint Lucia,,Boston Celtics,25,C,PF,3-Level Scoring Threat,"6'9""",206,200,90,"7'4""",224,,8,"January 11, 1993","Castries, St. Lucia",Oregon,79,83,90,87,80,78,90,75,73,57,55,80,74,89,80,77,73,74,85,80,72,64,72,50,85,38,33,41,25,59,30,59,76,37,43,72,78,50,60,72,67,76,80,79,2500,,,,,,bronze,,,,,,,,,,bronze,,,,,,,,,,,,silver,,,,,,,,bronze,silver,,,silver
62,Chris Livingston,United States,,Milwaukee Bucks,7,PF,SF,Interior Threat,"6'6""",198,220,99,"6'11""",211,,2,"October 15, 2003","Akron, Ohio",Kentucky,69,64,76,68,70,72,60,35,75,80,80,54,83,85,65,80,56,76,50,80,39,44,40,37,79,58,65,69,68,52,34,52,52,64,47,48,52,62,40,52,52,51,80,74,2263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Chris Paul,United States,,Los Angeles Clippers,3,PG,,2-Way 3-Level Playmaker,"6'0""",183,175,79,"6'4""",193,,20,"May 6, 1985","Winston-Salem, North Carolina",Wake Forest,81,84,98,88,81,94,85,60,76,80,81,62,75,80,75,77,55,86,25,27,40,55,70,50,85,85,90,87,80,90,80,69,61,81,66,45,80,75,75,44,32,56,50,95,2617,bronze,,silver,bronze,bronze,,bronze,,,,,,,,,,,,,silver,,,gold,gold,gold,,,,,,,,,bronze,,,,,,
64,Christian Braun,United States,,Denver Nuggets,0,SF,SG,3-Level Scoring Threat,"6'6""",198,220,99,"6'7""",201,,3,"April 17, 2001","Burlington, Kansas",Kansas,81,86,95,85,84,83,85,85,80,83,83,46,83,93,95,80,58,85,25,85,25,55,36,60,90,63,69,69,74,68,36,65,40,79,49,51,78,80,80,51,47,55,80,83,2579,,,bronze,silver,,,,,bronze,,silver,,,,silver,,,,,,,,,,,silver,silver,,,silver,silver,,,bronze,,,,,gold,silver
65,Christian Koloko,Cameroon,,Los Angeles Lakers,10,C,,Paint Protector,"7'0""",213,230,104,"7'5""",226,,3,"June 20, 2000","Douala, Cameroon",Arizona,72,62,65,60,29,63,75,80,74,72,72,59,75,80,80,80,61,64,75,75,54,50,51,50,70,41,37,42,44,52,29,60,75,37,43,73,75,50,70,67,67,67,60,78,2278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,C.J. McCollum,United States,,Washington Wizards,3,PG,SG,3-Level Slasher,"6'3""",191,190,86,"6'6""",198,,12,"September 19, 1991","Canton, Ohio",Lehigh,81,82,91,77,81,72,80,90,83,82,84,60,80,98,95,80,56,90,30,40,38,46,32,82,91,80,78,86,82,82,70,55,35,70,40,52,70,50,65,43,36,50,85,87,2557,silver,bronze,silver,gold,silver,,gold,,silver,,,,,,,,bronze,bronze,,,bronze,silver,,bronze,bronze,,,,,,,,,,,,,,gold,
67,Clint Capela,Switzerland,,Houston Rockets,15,C,,Paint Beast,"6'10""",208,256,115,"7'5""",226,,11,"May 18, 1994","Geneva, Switzerland",Switzerland,80,53,83,50,25,54,70,35,79,58,60,85,80,92,97,83,72,70,95,80,71,48,69,74,70,36,34,48,30,35,34,71,84,53,40,80,86,74,80,91,91,90,50,85,2443,,,,,,bronze,,,,bronze,,,bronze,,,silver,,,,,,,,,,,,silver,silver,,,,silver,,gold,silver,gold,silver,,silver
68,Coby White,United States,,Chicago Bulls,0,PG,SG,Slashing Inside-Out Creator,"6'5""",196,195,88,"6'5""",196,,6,"February 16, 2000","Goldsboro, North Carolina",North Carolina,83,85,91,61,81,91,85,98,80,85,85,56,81,90,85,80,62,90,30,65,34,45,49,84,95,81,79,87,84,84,70,54,49,64,41,37,66,64,55,40,30,50,85,85,2591,silver,bronze,,silver,silver,,gold,,silver,,,,,,,,bronze,silver,silver,bronze,silver,,silver,silver,silver,,,,,,,,,,,,,,silver,
69,Cody Williams,United States,,Utah Jazz,5,SF,PF,Rim Attacker,"6'8""",203,180,81,"7'0""",213,,1,"November 20, 2004","San Luis Obispo, California",Colorado,72,63,75,53,65,73,65,45,78,87,86,51,75,90,75,80,59,74,50,80,43,47,47,40,90,64,63,82,79,63,34,58,55,73,37,53,70,60,55,42,38,46,60,81,2340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Colby Jones,United States,,Detroit Pistons,1,SG,SF,Perimeter Defender,"6'6""",198,207,93,"6'8""",203,,2,"May 28, 2002","Birmingham, Alabama",Xavier,74,74,95,71,72,67,75,65,75,74,75,48,72,90,85,80,51,75,25,75,38,40,39,44,75,63,67,68,68,70,41,61,49,71,86,70,54,47,50,51,47,55,70,78,2371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Cole Anthony,United States,,Milwaukee Bucks,50,PG,SG,Inside-Out Scoring Threat,"6'2""",188,185,83,"6'5""",196,,5,"May 15, 2000","Portland, Oregon",North Carolina Tar Heels,79,78,87,72,79,82,75,75,82,84,84,59,77,88,85,98,62,79,40,85,49,58,44,62,80,81,82,84,84,82,72,55,45,69,56,61,55,52,45,56,46,65,65,81,2586,silver,bronze,silver,bronze,silver,,silver,,silver,,,,,,,,silver,bronze,,,silver,silver,bronze,silver,,,,,,,,,,,,,,,,
72,Collin Gillespie,United States,,Phoenix Suns,12,PG,,Perimeter Threat,"6'1""",185,195,88,"6'4""",193,,3,"June 25, 1999","Philadelphia, Pennsylvania",Villanova,74,77,81,75,86,87,70,65,73,82,82,33,72,85,80,80,52,74,40,54,31,46,40,37,95,78,79,77,82,80,72,54,33,62,63,50,60,58,55,54,52,56,60,76,2410,,,bronze,bronze,,,,,,,,,,,,,,bronze,bronze,,,,,,bronze,,,,,,,,,,,,,,,
73,Collin Murray-Boyles,United States,,Toronto Raptors,12,PF,C,,"6'7""",201,245,110,,,,0,"June 10, 2005","Columbia, South Carolina",South Carolina,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Collin Sexton,United States,,Charlotte Hornets,2,SG,PG,Shot-Creating 3-Level Threat,"6'3""",191,190,86,"6'7""",201,,7,"January 4, 1999","Marietta, Georgia",Alabama,81,85,97,81,84,87,80,80,83,88,88,58,84,95,90,81,56,80,30,75,25,38,28,80,90,79,75,86,87,75,72,53,45,67,40,32,67,69,50,43,43,42,80,84,2553,bronze,,silver,bronze,silver,,silver,,silver,,bronze,,,,,,,,,,bronze,silver,silver,bronze,bronze,,,,,,,,,,,,,,,bronze
75,Cooper Flagg,United States,,Dallas Mavericks,32,SF,,,"6'9""",206,205,92,"7'0""",213,,0,"December 21, 2006","Newport, Maine",Duke,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Corey Kispert,United States,,Washington Wizards,24,SG,SF,Catch & Shoot Ace,"6'6""",198,224,101,"6'7""",201,,4,"March 3, 1999","Edmonds, Washington",Gonzaga,79,83,90,85,85,86,70,80,75,76,76,60,69,84,80,80,53,70,40,60,38,39,39,52,85,62,66,71,66,69,38,58,54,70,36,45,69,67,65,43,37,48,50,79,2374,silver,silver,,gold,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,
77,Craig Porter,United States,,Cleveland Cavaliers,9,PG,,Sharpshooter,"6'1""",185,180,81,"6'5""",196,,2,"February 26, 2000","Terre Haute, Indiana",Wichita State,74,75,81,86,86,69,65,65,77,79,79,48,72,88,90,80,56,79,30,50,44,48,49,60,85,73,75,73,79,75,64,60,44,68,46,76,60,63,60,46,41,51,80,79,2467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Daeqwon Plowden,United States,,Sacramento Kings,29,SF,SG,Perimeter Defender,"6'6""",198,215,97,"6'10""",208,,3,"August 29, 1998","Philadelphia, Pennsylvania",Bowling Green,68,60,67,68,74,77,40,35,78,83,82,62,83,80,75,80,56,75,40,80,47,44,47,37,80,60,60,67,76,62,37,53,46,66,47,37,65,62,50,44,42,46,40,72,2231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Dalen Terry,United States,,Chicago Bulls,25,SG,SF,Inside-Out Shot Creator,"6'7""",201,195,88,"7'1""",216,,3,"July 12, 2002","Phoenix, Arizona",Arizona,74,72,77,72,80,69,65,70,76,76,76,58,69,85,85,80,56,77,25,80,40,46,42,54,85,71,76,80,74,78,49,62,43,69,63,53,69,70,65,47,47,47,80,78,2452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Dalton Knecht,United States,,Los Angeles Lakers,4,SF,SG,Catch & Shoot Ace,"6'6""",198,204,92,"6'10""",208,,1,"April 19, 2001","Fargo, North Dakota",Tennessee,77,81,93,90,85,75,70,70,75,86,59,50,77,90,85,80,59,78,45,65,48,49,49,53,85,61,64,68,74,65,33,47,50,59,35,35,59,57,35,48,38,58,40,83,2335,silver,silver,,gold,silver,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,gold,
81,Damian Lillard,United States,,Portland Trail Blazers,0,PG,,3-Level Scoring Playmaker,"6'2""",188,195,88,"6'8""",203,,13,"July 15, 1990","Oakland, California",Weber State,88,89,82,95,86,93,80,95,88,87,87,63,89,97,95,98,62,87,25,85,30,38,42,88,98,85,86,91,86,86,75,56,31,69,46,37,72,77,60,44,33,54,85,94,2722,gold,gold,gold,hof,gold,,gold,,silver,,gold,,,,silver,,gold,gold,silver,bronze,gold,gold,bronze,silver,gold,,,,,,,,,,,,,,,
82,D’Angelo Russell,United States,,Dallas Mavericks,1,PG,,Playmaking Inside-Out Threat,"6'3""",191,193,87,"6'10""",208,,10,"February 23, 1996","Louisville, Kentucky",Ohio State,79,76,94,67,75,84,65,70,75,81,81,54,71,93,65,83,60,88,25,45,35,55,60,88,81,84,87,90,81,88,76,57,40,65,56,55,68,70,45,42,32,52,60,84,2509,bronze,,,bronze,gold,,bronze,,bronze,,bronze,,,,,,silver,bronze,,bronze,,bronze,silver,silver,silver,,,,,,,,,,,,,,,
83,Daniel Gafford,United States,,Dallas Mavericks,21,C,,Paint Beast,"6'10""",208,234,105,"7'2""",218,,6,"October 1, 1998","El Dorado, Arkansas",Arkansas,81,69,99,65,29,70,75,75,78,75,70,73,80,80,89,80,74,80,85,75,69,67,70,75,70,38,37,35,44,37,38,69,83,57,38,91,83,50,80,82,88,75,80,83,2550,,,,,,gold,,,,bronze,,,bronze,,silver,gold,,,,,,,,,,,,gold,,,,,bronze,,silver,silver,gold,,,gold
84,Daniss Jenkins,United States,,Detroit Pistons,24,PG,SG,Ball Hawk,"6'4""",193,180,81,"6'7""",201,,1,"August 17, 2001","Dallas, Texas",St. John's,67,68,75,76,75,81,60,40,72,75,75,45,70,80,80,80,50,72,30,60,36,36,28,65,70,69,70,71,74,70,60,53,32,63,68,51,60,48,50,45,37,52,40,70,2225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Dante Exum,Australia,,Dallas Mavericks,0,SF,SG,3 & D Two Guard,"6'5""",196,214,96,"6'10""",208,,11,"July 13, 1995","Melbourne, Australia",Lake Ginninderra High School (Australia),79,79,83,73,86,74,80,75,76,79,82,48,77,80,85,83,54,75,25,60,28,55,40,63,85,77,78,79,79,79,72,66,27,82,63,51,80,78,80,39,30,47,85,79,2525,,,,silver,,,silver,,bronze,,bronze,,,,,,,bronze,silver,,,,bronze,,bronze,,,,,bronze,bronze,,,,,,,,,
86,DaQuan Jeffries,United States,,Charlotte Hornets,21,SF,SG,Catch & Shoot Threat,"6'5""",196,222,100,"6'11""",211,,6,"August 30, 1997","Edmond, Oklahoma",Tulsa,74,78,73,75,79,79,80,80,75,79,79,57,89,80,60,80,65,72,70,75,63,65,60,42,70,56,55,70,68,53,34,51,54,58,40,63,50,54,35,46,42,49,70,74,2376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Dario Saric,Croatia,,Sacramento Kings,9,PF,C,Versatile Defender,"6'10""",208,225,101,"6'10""",208,,11,"April 8, 1994","Sibenik, Croatia",Anadolu Efes (Turkey),74,68,82,71,70,83,50,50,72,63,69,65,60,82,86,81,72,74,45,70,81,79,81,50,92,65,75,69,57,84,38,63,80,66,63,25,80,55,75,69,62,76,40,77,2506,,,,,,,,,,silver,bronze,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Dariq Whitehead,United States,,Brooklyn Nets,0,SF,SG,Shot-Creating 3-Level Threat,"6'6""",198,220,99,"6'10""",208,,2,"August 1, 2004","Newark, New Jersey",Duke,72,71,77,76,86,79,70,40,76,79,79,52,82,90,70,77,57,70,50,80,44,51,47,37,80,64,67,78,76,66,35,51,40,65,38,37,67,67,45,45,34,56,90,79,2356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Darius Garland,United States,,Cleveland Cavaliers,10,PG,SG,Playmaking Inside-Out Scorer,"6'1""",185,192,86,"6'5""",196,,6,"January 26, 2000","Gary, Indiana",Vanderbilt,87,88,96,85,86,88,75,98,81,88,88,40,84,95,95,80,54,90,25,40,32,37,42,74,90,88,92,89,88,95,76,54,31,71,56,35,69,66,50,40,36,44,80,89,2595,gold,silver,gold,gold,gold,,gold,,silver,,bronze,,,,,,gold,bronze,,gold,silver,gold,,silver,gold,,,,,,,,,,,,,,,
90,DaRon Holmes II,United States,,Denver Nuggets,14,PF,C,Stretch Four,"6'10""",208,235,106,"7'1""",216,,1,"August 15, 2002","Goodyear, Arizona",Dayton,71,65,77,76,75,70,50,40,74,75,69,60,64,88,80,80,69,68,75,75,68,67,68,50,80,52,49,60,59,50,41,66,76,63,59,73,72,62,55,64,60,68,50,79,2431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Davion Mitchell,United States,,Miami Heat,45,PG,SG,2-Way 3PT Shot Creator,"6'0""",183,202,91,"6'4""",193,,4,"September 5, 1998","Hinesville, Georgia",Baylor,78,65,86,40,84,67,65,50,81,82,88,60,70,90,95,80,45,79,25,40,30,30,30,30,95,78,75,86,82,75,71,68,44,87,49,42,85,82,85,38,34,42,70,83,2408,,,,,,,,,,,,,,,,,,bronze,,,,,,silver,,gold,silver,,gold,,bronze,gold,,gold,,,,,,gold
92,Day’Ron Sharpe,United States,,Brooklyn Nets,20,C,,Inside The Arc Board Hunter,"6'9""",206,265,119,"7'0""",213,,4,"November 6, 2001","Greenville, North Carolina",North Carolina,77,71,87,74,67,76,70,50,75,61,61,79,73,80,90,80,59,73,75,70,48,35,48,44,80,58,62,58,38,66,65,67,69,60,73,82,69,55,60,89,94,84,60,78,2494,,,,,,silver,,,,,,,,,,bronze,,,,,,,,,,,,bronze,,,,,,,,gold,silver,silver,,silver
93,De’Aaron Fox,United States,,San Antonio Spurs,4,PG,,2-Way Inside-The-Arc Playmaker,"6'3""",191,185,83,"6'7""",201,,8,"December 20, 1997","New Orleans, Louisiana",Kentucky,85,83,97,83,73,83,70,90,84,97,93,46,84,96,90,80,58,97,25,80,25,30,27,88,90,85,84,88,97,84,73,68,34,84,63,51,82,82,80,46,38,54,55,89,2682,,,,,bronze,,gold,,gold,,gold,,,,,,silver,silver,silver,silver,silver,gold,bronze,gold,gold,bronze,bronze,,,bronze,,bronze,,bronze,,,,,,
94,Dean Wade,United States,,Cleveland Cavaliers,32,PF,SF,Stretch Four,"6'9""",206,228,103,"6'10""",208,,6,"November 20, 1996","Wichita, Kansas",Kansas State,74,72,78,70,79,52,85,65,75,62,75,60,83,80,85,79,66,78,80,75,60,60,64,44,70,46,38,60,43,55,33,62,50,77,46,55,74,68,65,58,49,67,60,76,2400,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,bronze,
95,Deandre Ayton,Bahamas,,Los Angeles Lakers,2,C,,2-Way Inside-The-Arc Menace,"7'0""",213,250,113,"7'6""",229,,7,"July 23, 1998","Nassau, Bahamas",Arizona,81,77,94,88,63,67,65,85,79,75,65,85,82,90,76,81,77,79,90,75,86,78,86,41,82,55,53,61,55,70,35,64,78,49,40,70,78,69,65,81,73,88,60,83,2660,,,,,,silver,,silver,,bronze,,bronze,silver,bronze,,silver,,,,,,,,,,,,,silver,,,,,,,silver,silver,silver,,silver
96,De’Andre Hunter,United States,,Cleveland Cavaliers,12,PF,SF,2-Way Catch & Shoot Ace,"6'8""",203,221,99,"7'2""",218,,6,"December 2, 1997","Philadelphia, Pennsylvania",Virginia,81,86,93,95,84,86,70,85,78,76,83,65,75,90,80,80,67,79,65,70,51,52,51,75,90,61,67,70,69,64,33,64,63,83,41,40,80,60,80,48,38,58,60,84,2585,,,,bronze,silver,,,,,,silver,,,,,,,,,,,,bronze,,,bronze,,,,,silver,bronze,,bronze,,,,,,bronze
97,Dejounte Murray,United States,,New Orleans Pelicans,5,SG,PG,2-Way Inside-Out Playmaker,"6'5""",196,180,81,"6'10""",208,,9,"September 19, 1996","Seattle, Washington",Washington,81,78,85,71,79,82,70,80,75,83,85,40,60,90,90,80,65,92,40,75,40,48,49,84,95,84,85,88,83,84,81,76,53,85,89,51,85,85,85,55,33,77,80,86,2748,,,,,silver,,gold,,silver,,silver,,,,,,silver,bronze,,,,silver,,bronze,silver,bronze,bronze,,,,,bronze,,bronze,,,,,,silver
98,DeMar DeRozan,United States,,Sacramento Kings,10,SF,PF,Shot-Creating 3-Level Threat,"6'6""",198,220,99,"6'9""",206,,16,"August 7, 1989","Compton, California",Southern California,85,88,97,96,77,87,75,95,83,82,82,73,88,88,80,91,78,88,55,80,65,78,86,83,85,76,73,83,80,75,67,58,50,70,40,51,70,59,65,43,35,50,50,89,2738,silver,,,silver,gold,bronze,silver,bronze,silver,bronze,silver,gold,bronze,gold,silver,,silver,silver,,,bronze,,gold,,bronze,,,,,,,,,,,,,,,
99,Deni Avdija,Israel,,Portland Trail Blazers,8,SF,PF,3-Level Small Ball Four,"6'9""",206,210,95,"6'9""",206,,5,"January 3, 2001","Beit Zera, Israel",Maccabi Tel Aviv (Israel),82,85,87,81,80,78,90,95,81,75,79,65,79,89,95,84,69,87,40,75,62,59,59,84,85,75,79,78,69,79,69,68,62,80,46,55,78,77,80,71,62,79,90,86,2797,,,,silver,,,silver,,silver,silver,silver,,,,,,,silver,gold,,,,silver,,silver,bronze,,,,,silver,bronze,,,,gold,gold,,bronze,silver
100,Dennis Schroder,Germany,,Sacramento Kings,17,PG,SG,3-Level Scoring Playmaker,"6'1""",185,172,77,"6'8""",203,,12,"September 15, 1993","Braunschweig, Germany","SG Braunschweig (ProB, Germany)",78,80,79,89,77,84,70,80,79,84,88,46,74,93,90,80,46,82,25,45,25,38,27,40,85,82,84,86,84,84,74,56,34,73,46,40,72,67,60,40,31,48,60,80,2424,,,,,,,silver,,bronze,,,,,,,,silver,silver,silver,bronze,,silver,bronze,,silver,,,,,,,,,,,,,,,bronze
101,Dereck Lively II,United States,,Dallas Mavericks,2,C,,Paint Beast,"7'1""",216,230,104,"7'7""",231,,2,"February 12, 2004","Philadelphia, Pennsylvania",Duke,81,75,97,60,52,64,90,85,71,50,57,70,67,80,95,80,71,82,85,83,59,54,59,55,90,58,69,52,40,68,61,65,78,57,38,91,75,54,65,84,90,78,90,85,2605,,,,,,gold,,,,bronze,silver,,bronze,,silver,gold,,,,,,,,,,,,gold,,,,,,,bronze,gold,silver,bronze,,silver
102,Derrick Jones Jr.,United States,,Los Angeles Clippers,55,SF,PF,2-Way 3-Level Scoring Threat,"6'6""",198,210,95,"7'0""",213,,9,"February 15, 1997","Chester, Pennsylvania",UNLV,79,75,80,82,80,70,60,75,81,77,84,59,93,83,95,78,71,79,85,94,50,52,52,68,90,55,65,68,61,54,29,73,67,84,63,57,82,80,80,52,53,50,75,80,2634,,,,,,silver,,,,,bronze,,,,gold,,,,,,,,,,,silver,,,bronze,,gold,silver,,,,,,,bronze,gold
103,Derrick White,United States,,Boston Celtics,9,SG,PG,2-Way Inside-Out Combo Guard,"6'4""",193,190,86,"6'8""",203,,8,"July 2, 1994","Parker, Colorado",Colorado,87,88,98,79,84,85,85,95,80,88,93,46,75,85,95,81,60,89,40,55,35,51,35,83,90,82,88,86,87,82,69,80,58,91,80,67,92,78,95,46,38,54,60,88,2780,bronze,,bronze,gold,bronze,,silver,,bronze,,,,,,,,,,silver,,,bronze,silver,,,gold,silver,,silver,silver,gold,gold,,gold,,,,,,gold
104,Desmond Bane,United States,,Orlando Magic,22,SG,SF,Shot-Creating 3-Level Threat,"6'5""",196,215,97,"6'4""",193,,5,"June 25, 1995","Richmond, Indiana",Texas Christian,83,90,91,95,88,88,90,90,78,74,80,56,78,92,85,78,61,81,35,75,49,61,56,44,84,75,78,80,70,77,71,66,59,79,49,51,78,78,70,54,40,67,75,87,2679,silver,silver,,gold,silver,,bronze,,bronze,,bronze,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,gold,
105,Devin Booker,United States,,Phoenix Suns,1,PG,SG,Offensive Architect,"6'6""",198,206,93,"6'8""",203,,10,"October 30, 1996","Grand Rapids, Michigan",Kentucky,91,89,96,97,85,89,70,95,82,83,80,59,79,95,95,81,78,95,30,75,74,79,85,87,98,88,95,93,83,96,74,60,58,75,40,37,74,74,65,44,40,47,65,94,2837,gold,gold,,gold,gold,,gold,,silver,,silver,silver,,bronze,,,gold,gold,gold,silver,gold,gold,silver,gold,gold,,,bronze,,,,,,,,,,,gold,
